payment_date,amount
"2005-06-19 09:39:01","5.99"
"2005-07-28 02:10:10","2.99"
"2005-07-28 04:37:59","2.99"
"2005-07-29 18:44:57","3.99"
"2005-07-30 08:46:09","5.99"
"2005-07-30 18:58:00","5.99"
"2005-08-02 07:09:34","0.99"
"2005-08-02 08:20:31","2.99"
"2005-08-17 00:28:01","4.99"
"2005-08-18 00:14:03","2.99"
"2005-08-18 05:14:44","8.99"
"2005-08-19 02:19:13","1.99"
"2005-08-20 09:32:04","2.99"
"2005-08-20 12:55:40","6.99"
"2005-08-21 04:53:37","4.99"
"2005-08-22 13:58:23","2.99"
"2005-08-23 07:43:00","1.99"
"2005-05-29 07:25:16","0.99"
"2005-05-31 11:15:43","6.99"
"2005-05-31 19:46:38","1.99"
"2005-06-15 22:03:14","3.99"
"2005-06-16 08:01:02","2.99"
"2005-06-17 15:56:53","4.99"
"2005-06-19 04:20:13","2.99"
"2005-06-20 18:38:22","4.99"
"2005-07-06 09:11:58","4.99"
"2005-07-08 20:04:43","2.99"
"2005-07-09 01:57:57","4.99"
"2005-07-09 07:13:52","5.99"
"2005-07-09 08:51:42","1.99"
"2005-07-10 11:09:35","0.99"
"2005-07-11 03:17:04","8.99"
"2005-07-12 11:27:35","3.99"
"2005-07-12 12:16:28","4.99"
"2005-07-27 12:37:28","0.99"
"2005-07-28 01:50:29","0.99"
"2005-07-28 08:43:39","3.99"
"2005-07-29 01:11:23","2.99"
"2005-07-30 04:14:28","1.99"
"2005-07-30 23:52:30","4.99"
"2005-07-31 14:00:53","3.99"
"2005-08-01 14:48:45","4.99"
"2005-08-01 15:27:10","0.99"
"2005-08-02 04:56:45","4.99"
"2005-08-02 10:50:06","4.99"
"2005-08-17 16:28:53","3.99"
"2005-08-18 00:10:04","9.99"
"2005-08-19 00:24:08","2.99"
"2005-08-19 09:45:41","1.99"
"2005-08-20 15:16:18","0.99"
"2005-08-20 22:13:59","6.99"
"2005-08-21 11:31:11","6.99"
"2005-08-21 14:02:50","2.99"
"2005-08-22 17:37:02","0.99"
"2006-02-14 15:16:03","0.99"
"2005-05-25 08:43:32","4.99"
"2005-05-28 11:09:14","2.99"
"2005-05-30 11:25:01","0.99"
"2005-06-16 03:41:38","3.99"
"2005-06-16 23:44:13","2.99"
"2005-06-17 09:19:45","0.99"
"2005-06-18 12:03:23","0.99"
"2005-07-06 23:14:21","0.99"
"2005-07-07 14:53:24","2.99"
"2005-07-10 03:03:35","0.99"
"2005-07-11 12:39:01","5.99"
"2005-07-11 15:01:54","7.99"
"2005-07-12 12:18:38","0.99"
"2005-07-27 05:03:44","2.99"
"2005-07-27 06:38:25","2.99"
"2005-07-28 18:47:23","0.99"
"2005-08-01 03:13:39","2.99"
"2005-08-02 05:36:38","2.99"
"2005-08-02 18:55:15","3.99"
"2005-08-17 02:29:41","6.99"
"2005-08-17 08:12:20","0.99"
"2005-08-17 13:39:32","0.99"
"2005-08-18 04:05:29","2.99"
"2005-08-20 00:18:25","6.99"
"2005-08-21 08:22:56","7.99"
"2005-08-21 09:49:28","4.99"
"2005-08-23 02:51:24","5.99"
"2005-08-23 06:41:32","0.99"
"2005-05-25 06:04:08","5.99"
"2005-05-25 19:30:46","0.99"
"2005-05-29 09:27:00","2.99"
"2005-05-30 21:07:15","4.99"
"2005-05-31 08:44:29","5.99"
"2005-06-16 21:06:00","0.99"
"2005-06-18 05:03:36","2.99"
"2005-06-19 14:00:26","0.99"
"2005-06-20 01:50:56","4.99"
"2005-06-20 10:11:53","0.99"
"2005-07-06 07:09:17","5.99"
"2005-07-07 13:22:20","2.99"
"2005-07-08 16:16:04","5.99"
"2005-07-08 18:47:38","4.99"
"2005-07-09 21:52:05","8.99"
"2005-07-10 21:35:12","7.99"
"2005-07-11 10:36:28","1.99"
"2005-07-11 17:30:58","2.99"
"2005-07-12 15:17:42","3.99"
"2005-07-29 07:02:55","5.99"
"2005-07-31 04:30:03","7.99"
"2005-08-01 04:57:04","6.99"
"2005-08-01 08:19:53","5.99"
"2005-08-01 11:39:26","4.99"
"2005-08-01 15:52:00","4.99"
"2005-08-02 04:40:54","3.99"
"2005-08-17 00:51:32","7.99"
"2005-08-18 07:57:14","8.99"
"2005-08-18 21:55:01","2.99"
"2005-08-19 21:23:31","2.99"
"2005-08-20 01:06:04","2.99"
"2005-08-20 05:53:31","0.99"
"2005-08-21 04:49:48","5.99"
"2005-05-30 03:43:54","6.99"
"2005-06-15 09:59:16","2.99"
"2005-06-17 18:21:35","5.99"
"2005-06-20 17:57:47","4.99"
"2005-07-05 23:01:21","5.99"
"2005-07-07 00:09:02","0.99"
"2005-07-07 10:02:03","2.99"
"2005-07-07 21:47:29","3.99"
"2005-07-08 02:17:12","3.99"
"2005-07-09 15:40:46","2.99"
"2005-07-09 17:13:23","2.99"
"2005-07-11 21:39:46","4.99"
"2005-07-12 10:43:53","0.99"
"2005-07-29 21:42:49","1.99"
"2005-07-31 04:54:43","2.99"
"2005-07-31 22:08:29","0.99"
"2005-08-01 13:05:35","2.99"
"2005-08-02 13:04:12","9.99"
"2005-08-02 14:42:45","2.99"
"2005-08-18 17:16:01","2.99"
"2005-08-21 01:07:11","0.99"
"2005-08-22 22:09:09","7.99"
"2005-08-23 13:05:10","2.99"
"2005-08-23 14:31:19","4.99"
"2005-05-27 05:01:28","4.99"
"2005-05-30 05:48:59","0.99"
"2005-05-31 10:13:34","4.99"
"2005-06-20 19:59:28","7.99"
"2005-06-21 04:08:43","4.99"
"2005-07-07 23:37:00","2.99"
"2005-07-08 13:59:38","0.99"
"2005-07-08 16:35:44","1.99"
"2005-07-10 07:45:40","2.99"
"2005-07-11 02:08:29","4.99"
"2005-07-11 10:17:29","5.99"
"2005-07-28 00:15:26","0.99"
"2005-07-28 07:51:56","2.99"
"2005-07-30 06:34:07","4.99"
"2005-08-01 09:11:25","0.99"
"2005-08-01 09:14:00","4.99"
"2005-08-02 19:00:52","5.99"
"2005-08-17 01:11:53","0.99"
"2005-08-18 03:08:10","2.99"
"2005-08-18 05:58:40","2.99"
"2005-08-18 18:48:58","4.99"
"2005-08-21 13:53:59","7.99"
"2006-02-14 15:16:03","4.99"
"2005-05-31 19:36:30","4.99"
"2005-06-16 20:21:53","4.99"
"2005-06-17 11:11:14","4.99"
"2005-06-18 03:26:23","3.99"
"2005-06-19 20:01:59","0.99"
"2005-06-20 00:00:55","0.99"
"2005-07-06 14:13:45","3.99"
"2005-07-07 03:06:40","4.99"
"2005-07-07 14:14:13","1.99"
"2005-07-09 03:12:52","7.99"
"2005-07-09 04:53:18","2.99"
"2005-07-09 21:58:57","0.99"
"2005-07-10 20:41:09","2.99"
"2005-07-28 05:21:42","2.99"
"2005-07-28 15:10:55","6.99"
"2005-07-28 22:34:12","4.99"
"2005-07-31 15:27:07","4.99"
"2005-08-01 17:09:59","8.99"
"2005-08-02 14:55:00","2.99"
"2005-08-02 19:13:39","0.99"
"2005-08-17 20:11:35","2.99"
"2005-08-18 09:19:12","2.99"
"2005-08-19 19:23:30","4.99"
"2005-08-20 16:43:28","2.99"
"2005-08-22 21:59:29","5.99"
"2005-05-30 22:59:12","6.99"
"2005-06-15 20:53:07","6.99"
"2005-06-17 07:26:45","7.99"
"2005-06-20 23:49:12","0.99"
"2005-07-08 07:19:11","2.99"
"2005-07-08 22:43:05","4.99"
"2005-07-10 16:44:58","5.99"
"2005-07-11 09:09:59","6.99"
"2005-07-27 13:13:32","4.99"
"2005-07-28 15:32:07","4.99"
"2005-07-28 18:43:11","2.99"
"2005-07-29 07:38:14","1.99"
"2005-07-29 17:33:45","0.99"
"2005-07-30 03:17:13","9.99"
"2005-07-30 16:08:21","6.99"
"2005-08-01 22:41:16","4.99"
"2005-08-02 10:14:58","6.99"
"2005-08-16 23:06:30","0.99"
"2005-08-17 19:32:44","5.99"
"2005-08-20 05:07:27","0.99"
"2005-08-20 12:17:27","4.99"
"2005-08-22 12:42:47","0.99"
"2005-08-22 17:46:41","2.99"
"2006-02-14 15:16:03","0.99"
"2005-05-30 23:08:03","4.99"
"2005-05-31 11:10:17","4.99"
"2005-06-16 17:02:55","5.99"
"2005-06-18 18:11:51","5.99"
"2005-06-18 23:07:12","5.99"
"2005-06-19 08:11:51","4.99"
"2005-06-20 19:33:52","2.99"
"2005-06-21 16:31:27","0.99"
"2005-07-06 17:57:54","3.99"
"2005-07-09 05:00:39","0.99"
"2005-07-09 05:06:24","0.99"
"2005-07-09 07:02:19","0.99"
"2005-07-09 13:20:25","3.99"
"2005-07-12 15:55:39","2.99"
"2005-07-27 01:44:03","0.99"
"2005-07-27 11:50:47","0.99"
"2005-07-30 04:34:51","0.99"
"2005-07-30 11:26:28","4.99"
"2005-07-30 13:49:43","5.99"
"2005-07-31 04:42:46","5.99"
"2005-07-31 07:45:33","5.99"
"2005-08-01 06:50:26","10.99"
"2005-08-16 22:52:30","0.99"
"2005-08-18 16:58:48","4.99"
"2005-08-20 02:37:07","0.99"
"2005-08-20 15:58:28","2.99"
"2005-08-21 05:19:39","4.99"
"2005-08-23 20:28:44","0.99"
"2005-06-17 06:54:42","2.99"
"2005-06-18 02:24:01","4.99"
"2005-06-20 06:26:57","2.99"
"2005-06-20 12:45:33","8.99"
"2005-07-06 21:39:24","2.99"
"2005-07-11 07:43:08","8.99"
"2005-07-12 05:45:47","2.99"
"2005-07-12 20:13:45","0.99"
"2005-07-12 21:30:41","2.99"
"2005-07-28 11:49:53","2.99"
"2005-07-29 01:38:53","2.99"
"2005-07-29 22:37:41","11.99"
"2005-07-30 14:38:22","9.99"
"2005-07-30 21:29:41","0.99"
"2005-07-31 06:12:08","0.99"
"2005-07-31 08:58:40","7.99"
"2005-07-31 17:48:51","4.99"
"2005-08-02 14:58:41","4.99"
"2005-08-02 16:05:17","0.99"
"2005-08-17 09:44:59","5.99"
"2005-08-19 04:31:36","7.99"
"2005-08-19 10:49:03","4.99"
"2005-08-19 15:25:48","0.99"
"2005-08-20 00:33:19","0.99"
"2005-08-21 05:44:07","9.99"
"2005-08-21 15:44:23","7.99"
"2005-08-22 20:51:24","4.99"
"2005-05-26 00:37:28","0.99"
"2005-05-27 04:34:41","9.99"
"2005-05-28 04:25:33","5.99"
"2005-05-28 22:04:30","2.99"
"2005-05-29 20:24:28","0.99"
"2005-06-15 13:32:15","4.99"
"2005-07-06 10:21:49","2.99"
"2005-07-08 23:00:07","0.99"
"2005-07-09 06:37:07","0.99"
"2005-07-09 16:10:25","7.99"
"2005-07-09 19:14:32","4.99"
"2005-07-10 03:29:48","7.99"
"2005-07-28 16:23:01","6.99"
"2005-07-28 16:45:11","0.99"
"2005-07-29 11:11:33","3.99"
"2005-07-29 22:46:08","4.99"
"2005-07-30 21:36:15","4.99"
"2005-07-31 03:21:16","2.99"
"2005-08-01 05:23:00","2.99"
"2005-08-01 11:55:33","6.99"
"2005-08-02 22:18:24","4.99"
"2005-08-17 00:27:23","3.99"
"2005-08-18 19:16:47","2.99"
"2005-08-20 11:20:12","4.99"
"2005-08-22 08:43:50","6.99"
"2005-08-22 22:08:11","0.99"
"2005-08-23 22:25:26","0.99"
"2006-02-14 15:16:03","4.99"
"2005-06-18 21:26:56","2.99"
"2005-06-20 05:15:37","5.99"
"2005-06-20 22:52:18","0.99"
"2005-07-06 02:29:21","7.99"
"2005-07-07 07:26:19","5.99"
"2005-07-10 11:02:03","2.99"
"2005-07-11 00:14:19","2.99"
"2005-07-27 05:15:37","4.99"
"2005-07-28 22:50:50","0.99"
"2005-07-29 13:36:01","6.99"
"2005-07-30 02:13:31","4.99"
"2005-07-31 17:22:35","2.99"
"2005-08-02 08:44:18","2.99"
"2005-08-02 09:29:11","2.99"
"2005-08-02 15:48:08","2.99"
"2005-08-02 17:09:24","2.99"
"2005-08-17 16:20:37","7.99"
"2005-08-18 04:39:10","2.99"
"2005-08-18 14:46:26","2.99"
"2005-08-18 18:00:23","2.99"
"2005-08-19 20:18:36","8.99"
"2005-08-19 22:03:46","5.99"
"2005-08-20 02:00:33","5.99"
"2005-08-20 03:41:41","4.99"
"2005-08-20 08:34:41","3.99"
"2005-08-21 16:31:22","0.99"
"2005-08-21 23:53:35","4.99"
"2005-08-22 03:23:41","8.99"
"2005-08-22 15:36:04","0.99"
"2005-08-23 17:12:31","4.99"
"2006-02-14 15:16:03","3.98"
"2006-02-14 15:16:03","0.00"
"2005-05-27 03:07:10","3.99"
"2005-05-28 13:33:23","2.99"
"2005-05-30 07:10:00","0.99"
"2005-05-31 02:53:36","2.99"
"2005-06-17 07:04:57","6.99"
"2005-06-17 07:50:53","7.99"
"2005-06-18 04:56:12","1.99"
"2005-06-20 07:10:09","7.99"
"2005-06-21 11:16:42","0.99"
"2005-07-06 02:23:39","0.99"
"2005-07-07 12:11:22","2.99"
"2005-07-07 14:24:44","3.99"
"2005-07-08 02:45:19","4.99"
"2005-07-11 06:40:31","4.99"
"2005-07-27 19:39:38","0.99"
"2005-07-27 22:03:41","2.99"
"2005-07-29 07:45:00","5.99"
"2005-07-30 11:12:03","0.99"
"2005-07-31 03:54:05","5.99"
"2005-08-01 17:53:02","2.99"
"2005-08-01 19:15:08","2.99"
"2005-08-02 15:50:44","0.99"
"2005-08-17 22:53:00","2.99"
"2005-08-18 07:41:43","4.99"
"2005-08-18 15:39:46","7.99"
"2005-08-19 13:08:23","4.99"
"2005-08-19 22:01:42","4.99"
"2005-08-20 01:10:27","6.99"
"2005-08-21 14:45:34","8.99"
"2005-05-26 19:44:54","2.99"
"2005-05-28 11:19:53","2.99"
"2005-05-30 06:41:32","4.99"
"2005-06-18 00:17:58","5.99"
"2005-06-19 12:29:08","8.99"
"2005-06-21 05:06:30","5.99"
"2005-07-10 10:46:57","3.99"
"2005-07-10 19:25:21","3.99"
"2005-07-12 20:52:41","1.99"
"2005-07-28 17:45:58","8.99"
"2005-07-28 23:37:33","2.99"
"2005-07-30 08:30:56","8.99"
"2005-07-30 10:11:52","2.99"
"2005-07-30 19:23:44","8.99"
"2005-07-30 23:43:32","0.99"
"2005-08-17 18:26:22","4.99"
"2005-08-20 10:24:41","2.99"
"2005-08-20 21:43:44","2.99"
"2005-08-21 08:15:41","2.99"
"2005-08-21 08:42:26","2.99"
"2005-08-23 12:41:38","5.99"
"2005-05-25 06:44:53","2.99"
"2005-05-25 19:27:51","4.99"
"2005-05-29 01:32:10","4.99"
"2005-06-15 19:30:18","5.99"
"2005-06-16 19:23:23","4.99"
"2005-06-17 19:52:42","5.99"
"2005-06-20 09:02:51","8.99"
"2005-07-08 10:15:38","3.99"
"2005-07-08 12:46:30","3.99"
"2005-07-08 21:44:39","3.99"
"2005-07-11 08:15:08","2.99"
"2005-07-12 19:20:45","0.99"
"2005-07-28 19:27:37","2.99"
"2005-07-29 11:18:01","4.99"
"2005-07-30 06:18:38","4.99"
"2005-07-30 09:13:21","4.99"
"2005-08-01 17:32:53","4.99"
"2005-08-01 19:05:18","1.99"
"2005-08-02 08:03:02","4.99"
"2005-08-02 20:22:45","4.99"
"2005-08-18 06:51:39","0.99"
"2005-08-20 01:29:29","0.99"
"2005-05-25 01:10:47","0.99"
"2005-05-25 18:43:49","9.99"
"2005-05-26 04:26:06","6.99"
"2005-05-27 03:22:30","2.99"
"2005-05-28 13:11:04","2.99"
"2005-05-29 01:59:10","2.99"
"2005-06-19 10:42:59","2.99"
"2005-06-19 22:55:37","2.99"
"2005-06-21 17:38:02","2.99"
"2005-07-06 02:24:55","4.99"
"2005-07-12 02:57:02","4.99"
"2005-07-30 11:06:23","5.99"
"2005-07-30 14:29:29","0.99"
"2005-07-31 20:01:06","9.99"
"2005-07-31 23:40:35","7.99"
"2005-08-16 23:27:36","8.99"
"2005-08-17 14:10:22","5.99"
"2005-08-18 02:31:18","9.99"
"2005-08-18 07:40:52","2.99"
"2005-08-20 09:53:44","8.99"
"2005-08-20 12:46:32","8.99"
"2005-08-21 00:33:03","4.99"
"2005-08-22 09:57:16","2.99"
"2005-08-23 03:46:47","0.99"
"2005-05-26 07:27:36","2.99"
"2005-05-28 00:54:39","6.99"
"2005-05-28 07:16:25","1.99"
"2005-06-16 02:33:53","0.99"
"2005-06-17 21:16:41","3.99"
"2005-06-18 11:46:26","4.99"
"2005-06-21 11:21:38","4.99"
"2005-07-07 00:48:25","3.99"
"2005-07-07 21:39:45","2.99"
"2005-07-10 11:03:20","2.99"
"2005-07-11 15:10:18","2.99"
"2005-07-11 15:53:00","6.99"
"2005-07-27 09:31:44","4.99"
"2005-07-28 10:06:10","5.99"
"2005-07-28 19:45:19","2.99"
"2005-07-30 07:55:14","4.99"
"2005-07-30 22:53:52","3.99"
"2005-08-01 03:33:19","4.99"
"2005-08-01 14:59:50","7.99"
"2005-08-02 03:30:24","1.99"
"2005-08-17 12:27:55","0.99"
"2005-08-18 01:28:15","0.99"
"2005-08-19 08:48:37","4.99"
"2005-08-19 12:26:32","4.99"
"2005-08-19 19:25:42","2.99"
"2005-08-21 18:03:20","2.99"
"2005-08-22 10:19:58","6.99"
"2005-08-22 14:37:22","1.99"
"2005-08-22 17:53:06","0.99"
"2005-08-23 01:10:42","2.99"
"2005-05-26 15:42:20","3.99"
"2005-05-27 20:11:47","3.99"
"2005-05-28 10:15:04","0.99"
"2005-06-18 04:08:50","7.99"
"2005-06-18 06:13:41","4.99"
"2005-06-18 15:37:55","2.99"
"2005-06-19 21:14:33","4.99"
"2005-06-21 01:04:35","10.99"
"2005-07-09 06:42:32","4.99"
"2005-07-10 13:27:40","3.99"
"2005-07-10 23:43:23","2.99"
"2005-07-26 23:28:13","1.99"
"2005-07-28 14:56:54","0.99"
"2005-07-28 22:56:11","6.99"
"2005-07-29 23:49:23","2.99"
"2005-07-30 10:45:12","0.99"
"2005-07-31 07:29:25","5.99"
"2005-08-01 13:23:06","4.99"
"2005-08-01 19:28:47","0.99"
"2005-08-02 07:10:57","0.99"
"2005-08-17 17:53:09","0.99"
"2005-08-17 23:34:16","2.99"
"2005-08-18 19:07:23","4.99"
"2005-08-18 23:34:22","6.99"
"2005-08-19 21:37:57","2.99"
"2005-08-19 22:09:28","4.99"
"2005-08-19 22:43:38","4.99"
"2005-08-20 00:50:54","8.99"
"2005-08-20 09:26:14","9.99"
"2005-08-20 10:48:43","4.99"
"2005-08-20 23:24:07","8.99"
"2005-08-21 02:51:59","2.99"
"2005-08-21 12:10:41","2.99"
"2005-08-22 03:20:26","4.99"
"2006-02-14 15:16:03","2.99"
"2005-05-27 07:49:43","4.99"
"2005-05-28 08:31:36","4.99"
"2005-05-29 21:07:22","8.99"
"2005-06-21 17:18:01","2.99"
"2005-07-07 12:00:52","2.99"
"2005-07-09 15:23:42","6.99"
"2005-07-10 15:48:19","2.99"
"2005-07-27 04:42:08","4.99"
"2005-07-28 04:02:58","7.99"
"2005-07-30 20:38:05","0.99"
"2005-07-31 03:01:11","4.99"
"2005-08-17 19:54:54","5.99"
"2005-08-17 23:22:46","2.99"
"2005-08-19 00:42:24","0.99"
"2005-08-19 09:43:25","9.99"
"2005-08-20 22:18:53","2.99"
"2005-08-21 16:24:43","6.99"
"2005-08-22 13:18:25","7.99"
"2005-08-23 06:03:31","6.99"
"2005-08-23 08:48:43","4.99"
"2005-08-23 14:06:19","4.99"
"2006-02-14 15:16:03","4.99"
"2005-05-25 21:20:03","8.99"
"2005-05-28 20:15:30","2.99"
"2005-05-31 12:03:44","0.99"
"2005-06-19 16:44:35","1.99"
"2005-06-19 20:50:01","0.99"
"2005-06-20 10:48:56","5.99"
"2005-06-20 13:19:58","4.99"
"2005-06-21 21:49:18","2.99"
"2005-07-06 11:43:44","3.99"
"2005-07-06 13:53:41","2.99"
"2005-07-08 18:43:18","2.99"
"2005-07-11 12:43:07","2.99"
"2005-07-11 14:20:18","2.99"
"2005-07-12 22:30:15","5.99"
"2005-07-27 07:18:46","7.99"
"2005-07-28 15:33:03","2.99"
"2005-07-29 17:41:14","0.99"
"2005-07-30 12:55:36","5.99"
"2005-07-30 14:26:46","9.99"
"2005-07-31 08:25:03","3.99"
"2005-07-31 21:50:24","6.99"
"2005-08-02 01:29:57","2.99"
"2005-08-16 23:04:53","2.99"
"2005-08-19 18:31:50","2.99"
"2005-08-19 20:00:25","4.99"
"2005-08-19 23:25:37","6.99"
"2005-08-20 02:21:40","0.99"
"2005-08-20 04:12:41","0.99"
"2005-08-21 13:42:45","2.99"
"2006-02-14 15:16:03","2.99"
"2005-05-31 01:02:28","6.99"
"2005-05-31 10:22:54","2.99"
"2005-06-16 14:39:31","2.99"
"2005-06-17 16:27:51","2.99"
"2005-06-17 20:16:12","4.99"
"2005-06-18 19:28:02","5.99"
"2005-06-20 07:33:09","7.99"
"2005-07-06 07:32:42","7.99"
"2005-07-07 20:29:08","2.99"
"2005-07-09 16:00:34","0.99"
"2005-07-10 07:09:21","0.99"
"2005-07-12 19:46:29","4.99"
"2005-07-27 11:22:17","1.99"
"2005-07-30 03:15:37","4.99"
"2005-07-31 08:31:18","0.99"
"2005-07-31 15:08:47","0.99"
"2005-08-01 10:38:27","2.99"
"2005-08-02 12:09:45","2.99"
"2005-08-17 00:57:36","2.99"
"2005-08-18 00:53:37","8.99"
"2005-08-18 22:22:45","2.99"
"2005-08-19 07:34:53","1.99"
"2005-08-19 09:40:53","4.99"
"2005-08-19 16:45:59","0.99"
"2005-08-22 21:28:59","4.99"
"2005-05-25 14:31:25","7.99"
"2005-05-31 04:50:07","2.99"
"2005-06-15 12:17:34","4.99"
"2005-06-15 14:09:55","2.99"
"2005-06-16 17:13:23","6.99"
"2005-06-19 08:23:11","8.99"
"2005-06-20 02:41:28","4.99"
"2005-06-21 20:53:31","4.99"
"2005-07-07 15:26:31","2.99"
"2005-07-07 17:50:27","0.99"
"2005-07-07 21:31:53","2.99"
"2005-07-10 19:19:43","2.99"
"2005-07-12 11:06:17","4.99"
"2005-07-12 22:02:18","2.99"
"2005-07-29 15:40:57","2.99"
"2005-07-30 00:15:57","0.99"
"2005-07-30 10:12:01","8.99"
"2005-07-30 17:56:38","2.99"
"2005-07-31 14:59:37","2.99"
"2005-07-31 20:49:13","2.99"
"2005-08-01 04:49:06","5.99"
"2005-08-02 00:12:32","2.99"
"2005-08-02 02:05:59","2.99"
"2005-08-17 04:48:05","0.99"
"2005-08-19 04:48:48","0.99"
"2005-08-21 03:38:27","4.99"
"2005-08-21 05:13:16","4.99"
"2005-08-23 02:57:30","0.99"
"2005-08-23 20:00:30","5.99"
"2005-05-29 16:59:44","2.99"
"2005-05-31 14:33:56","2.99"
"2005-06-15 18:53:14","5.99"
"2005-06-16 14:01:02","4.99"
"2005-06-17 18:14:08","9.99"
"2005-06-18 17:07:34","3.99"
"2005-06-18 17:25:05","6.99"
"2005-06-19 01:27:46","4.99"
"2005-06-19 16:21:19","4.99"
"2005-07-07 04:32:28","2.99"
"2005-07-07 14:42:04","4.99"
"2005-07-07 20:41:03","4.99"
"2005-07-07 21:28:46","0.99"
"2005-07-07 22:39:02","6.99"
"2005-07-08 03:43:22","3.99"
"2005-07-08 09:09:46","6.99"
"2005-07-09 21:32:29","2.99"
"2005-07-11 09:19:31","1.99"
"2005-07-11 14:53:25","2.99"
"2005-07-27 13:55:18","0.99"
"2005-07-29 00:33:36","4.99"
"2005-07-30 23:31:40","0.99"
"2005-08-01 06:42:20","3.99"
"2005-08-02 04:48:11","3.99"
"2005-08-02 16:04:08","2.99"
"2005-08-02 17:00:12","0.99"
"2005-08-17 08:54:30","5.99"
"2005-08-19 11:25:10","4.99"
"2005-08-21 03:24:29","4.99"
"2005-08-21 03:37:42","8.99"
"2005-08-21 17:51:06","1.99"
"2005-08-21 20:12:30","7.99"
"2005-08-22 22:34:44","2.99"
"2005-08-23 11:16:29","7.99"
"2005-05-29 16:03:03","2.99"
"2005-06-15 10:11:42","4.99"
"2005-06-15 21:17:17","4.99"
"2005-06-16 13:05:09","2.99"
"2005-06-17 08:59:57","3.99"
"2005-06-18 23:48:47","2.99"
"2005-06-19 20:03:29","4.99"
"2005-06-20 12:28:59","1.99"
"2005-06-21 17:22:36","3.99"
"2005-07-07 02:52:53","0.99"
"2005-07-08 02:34:51","5.99"
"2005-07-10 03:01:19","0.99"
"2005-07-10 11:45:48","4.99"
"2005-07-11 07:36:50","0.99"
"2005-07-12 05:26:26","5.99"
"2005-07-12 11:13:21","4.99"
"2005-07-28 12:13:42","1.99"
"2005-07-30 14:06:53","0.99"
